,,Detection Rate (Global Expression Specificity),,,,,,,,,,,,Detection Rate (Global Expression Specificity),,,,,,,
GeneID,Cluster,Recount2 TPM 0.1,Recount2 TPM 1.0,Recount2 RPKM 0.3,Recount2 RPKM 1.0,Dee2 TPM 0.1,Dee2 TPM 1.0,Dee2 RPKM 0.3,Dee2 RPKM 1.0,,,,,Recount2,,,,Dee2,,,
79917,Cluster:4,0.866492738,0.489601886,0.678072398,0.268469508,0.972336939,0.565421173,0.73964274,0.252310718,,,,,,,,,,,,
80313,Cluster:4,0.875072122,0.590146251,0.773122946,0.305471239,0.979695182,0.780465421,0.902392658,0.403064569,,,,,,,,,,,,
80852,Cluster:4,0.827885508,0.386147555,0.514938665,0.232019667,0.473615208,0.232661422,0.283857752,0.145919371,,,,,,,,,,,,
81543,Cluster:4,0.783709204,0.485588139,0.611770313,0.311140657,0.87741724,0.636053753,0.738757784,0.438446411,,,,,,,,,,,,
83882,Cluster:4,0.820911622,0.449665103,0.597120136,0.293304568,0.936823992,0.556424123,0.681202884,0.312602425,,,,,,,,,,,,
83890,Cluster:4,0.845796854,0.4021022,0.607580965,0.193362266,0.716961652,0.11935431,0.205047525,0.035939036,,,,,,,,,,,,
84071,Cluster:4,0.859343251,0.584853122,0.746306098,0.325640318,0.967092756,0.783808587,0.896427401,0.394509997,,,,,,,,,,,,
84074,Cluster:4,0.855053558,0.541604997,0.708351103,0.328299426,0.967273025,0.665355621,0.800147493,0.363110456,,,,,,,,,,,,
84517,Cluster:4,0.785314703,0.535759978,0.655444899,0.357323834,0.86409374,0.605784989,0.694018355,0.397885939,,,,,,,,,,,,
84911,Cluster:4,0.801796152,0.529262725,0.63964077,0.352156135,0.828843002,0.572123894,0.664372337,0.352605703,,,,,,,,,,,,
84989,Cluster:4,0.819130522,0.494017008,0.645159672,0.290971578,0.873156342,0.331202884,0.468059653,0.130809571,,,,,,,,,,,,
90506,Cluster:4,0.849208539,0.480570956,0.668489577,0.235531696,0.959636185,0.589839397,0.741707637,0.25475254,,,,,,,,,,,,
93164,Cluster:4,0.80856935,0.54699847,0.683240097,0.324812483,0.914650934,0.646116028,0.763044903,0.37028843,,,,,,,,,,,,
93953,Cluster:4,0.872739132,0.567744525,0.735895442,0.30890801,0.973434939,0.667256637,0.819403474,0.30526057,,,,,,,,,,,,
113451,Cluster:4,0.775330507,0.445651356,0.57662494,0.288839275,0.898426745,0.573566044,0.666879712,0.348934775,,,,,,,,,,,,
113691,Cluster:4,0.85154153,0.476657552,0.646439054,0.290494945,0.546853491,0.12818748,0.181399541,0.048295641,,,,,,,,,,,,
114987,Cluster:4,0.869904423,0.545468229,0.691443193,0.359054763,0.952228777,0.680170436,0.778597181,0.432661422,,,,,,,,,,,,
115399,Cluster:4,0.817826054,0.53267441,0.661866894,0.34861902,0.952490987,0.726352016,0.810160603,0.486365126,,,,,,,,,,,,
115560,Cluster:4,0.779971402,0.57128164,0.677119133,0.381230715,0.842248443,0.68454605,0.759652573,0.458423468,,,,,,,,,,,,
115811,Cluster:4,0.829365577,0.542407747,0.679853498,0.337255099,0.955375287,0.685873484,0.793690593,0.434300229,,,,,,,,,,,,
116412,Cluster:4,0.794496149,0.53746582,0.66312119,0.351127612,0.948115372,0.719960669,0.806260243,0.486348738,,,,,,,,,,,,
116444,Cluster:4,0.877354941,0.428592931,0.620174096,0.20249354,0.704883645,0.242543428,0.336692888,0.106293019,,,,,,,,,,,,
119385,Cluster:4,0.888192058,0.485437624,0.669367584,0.249805584,0.12079646,0.013815143,0.022009177,0.005047525,,,,,,,,,,,,
123688,Cluster:4,0.833931214,0.485738655,0.645937335,0.261094248,0.91935431,0.594526385,0.715552278,0.302949853,,,,,,,,,,,,
123722,Cluster:4,0.914657703,0.474976796,0.669191983,0.237739257,0.17351688,0.032251721,0.037807276,0.028253032,,,,,,,,,,,,
128497,Cluster:4,0.750370017,0.48927577,0.620876502,0.292727592,0.935234349,0.7133235,0.810816126,0.43157981,,,,,,,,,,,,
129530,Cluster:4,0.807139453,0.511301207,0.66121466,0.306901136,0.957849885,0.70008194,0.810226155,0.416453622,,,,,,,,,,,,
138429,Cluster:4,0.80801746,0.471038306,0.596693676,0.312269523,0.93625041,0.598738119,0.70891511,0.379924615,,,,,,,,,,,,
142679,Cluster:4,0.861626069,0.503951032,0.674610541,0.275042019,0.955653884,0.576040642,0.727351688,0.244968863,,,,,,,,,,,,
146456,Cluster:4,0.824172792,0.574868926,0.726212277,0.313599077,0.815355621,0.419534579,0.539790233,0.152966241,,,,,,,,,,,,
147645,Cluster:4,0.832651833,0.524320799,0.670772395,0.338810426,0.96612586,0.716207801,0.828793838,0.467748279,,,,,,,,,,,,
147837,Cluster:4,0.811228457,0.577502948,0.69355041,0.34179565,0.884431334,0.697787611,0.776974762,0.419419862,,,,,,,,,,,,
147948,Cluster:4,0.786594085,0.585229411,0.698291649,0.377743772,0.848246477,0.690511308,0.762864635,0.456751885,,,,,,,,,,,,
148213,Cluster:4,0.807766601,0.529463412,0.633720493,0.38341319,0.826925598,0.597509013,0.681022616,0.410095051,,,,,,,,,,,,
148229,Cluster:4,0.831272107,0.466071294,0.604094022,0.309359556,0.943510324,0.610685021,0.708226811,0.403179285,,,,,,,,,,,,
150082,Cluster:4,0.866693425,0.50906856,0.686927727,0.290193914,0.910095051,0.467961324,0.620943953,0.202245166,,,,,,,,,,,,
150353,Cluster:4,0.868650127,0.524421142,0.700223265,0.240373278,0.303425107,0.012487709,0.026728941,0.001966568,,,,,,,,,,,,
150709,Cluster:4,0.894915084,0.523844166,0.742518125,0.233374307,0.978105539,0.594133071,0.798148148,0.178761062,,,,,,,,,,,,
157869,Cluster:4,0.801821238,0.360685347,0.497177834,0.226074304,0.658226811,0.285070469,0.376974762,0.151311046,,,,,,,,,,,,
