  Cluster,Variable,     Q5,    Q10,    Q15,    Q20,    Q25,    Q30,    Q35,    Q40,    Q45,    Q50,    Q55,    Q60,    Q65,    Q70,    Q75,    Q80,    Q85,    Q90,    Q95
Cluster:60,Min,0.2418,4.951,10.25,13.74,17.34,21.36,26,30.2,34,37.97,42.2,46.51,51.43,57.29,62.49,68,76.04,86.09,103.9
,1st Qu,1.3089,6.967,12.63,18.15,22.96,27.69,31.89,36.21,40.24,44.65,49.34,54.04,59.22,64.61,71.23,79.13,89.78,106.13,138.9
,Median,2.047,8.114,14.04,19.74,24.66,29.43,33.94,38.33,42.75,47.45,51.96,56.79,62.15,68.23,75.06,83.68,96.1,114.55,153.3
,Mean,2.2062,8.351,14.31,19.73,24.7,29.34,33.79,38.15,42.51,46.95,51.58,56.54,61.98,68.14,75.38,84.43,96.72,116.02,158.3
,3rd Qu,2.929,9.558,15.88,21.41,26.56,31.24,35.74,40.2,44.7,49.26,53.92,59.15,64.96,71.67,79.58,89.88,103.22,125.37,169.9
,Max,6.4102,14.536,20.53,25.65,31.04,35.68,39.78,44.25,49.6,54.76,59.58,65.22,73.05,84.07,96.73,110.04,125.99,150.65,370.1
Cluster:66,Min,0.4555,5.26,11.82,17.77,23.9,28.51,33.05,37.25,41.42,45.92,50.87,57.02,62.87,67.48,72.95,79.72,88.32,102.4,125.9
,1st Qu,1.8081,8.547,15.44,21.59,27.22,32.49,37.68,42.58,47.63,52.4,57.58,62.89,68.42,74.64,82.45,91.18,103.28,122.5,160
,Median,2.7146,10.068,16.78,23.3,29.01,34.49,39.66,44.91,49.86,54.95,60.3,66,72.14,79.1,86.79,96.87,110.78,131.8,175.1
,Mean,2.8994,10.228,17.22,23.5,29.21,34.55,39.69,44.71,49.74,54.86,60.21,65.91,72.13,79.11,87.34,97.64,111.69,133.9,184
,3rd Qu,3.7696,11.473,19.03,25.44,31.1,36.52,41.78,46.93,51.87,57.2,62.49,68.32,75.37,82.74,91.5,102.67,118.22,144.1,199.4
,Max,8.4505,18.477,25.74,31.92,37.35,42.27,47.11,52.62,58.03,62.96,69.38,77.95,87.21,97.26,108.02,124.48,148.23,196.1,540.4
Cluster:10,Min,0.6239,7.725,14.44,20.96,27.59,32.72,39.1,45.05,51.27,57.05,61.23,65.63,70.71,76.18,81.41,87.53,95.85,108.2,132.8
,1st Qu,2.5392,11.071,19.12,26.47,33.22,39.3,45.22,51.22,56.96,62.71,68.28,74.56,80.94,88.08,96.37,106.88,120.01,140.7,179.7
,Median,3.7854,12.635,21.04,28.6,35.7,42.02,48.13,53.84,59.75,65.5,71.92,78.48,85.69,93.91,102.84,113.99,129.27,152,197.6
,Mean,3.8817,12.797,21.25,28.79,35.63,42,48.04,53.91,59.75,65.66,71.79,78.3,85.38,93.32,102.58,114.09,129.64,153.8,204.7
,3rd Qu,4.8232,14.285,23.06,30.97,37.96,44.57,50.8,56.7,62.47,68.54,74.89,82.06,89.49,97.95,108.19,121.39,138.23,166.2,222.9
,Max,11.2979,23.713,31.46,38.29,44.24,50.92,58.11,63.71,68.71,75.49,82.65,90.25,101.07,113.87,130.29,149.22,184.39,237.4,368.9
Cluster:89,Min,0.7393,9.56,19.42,28.26,34.95,41.74,49.2,56.19,62.12,67.61,74.42,79.38,84.84,91.34,97.41,104.8,114.9,132.4,159.3
,1st Qu,3.4696,13.52,23.42,32.52,40.75,48.54,55.81,62.79,69.45,76.34,83.71,91.18,99.09,107.7,117.97,130.5,146.1,169.1,213.2
,Median,4.585,15.43,25.66,34.84,43,50.93,58.58,65.88,73.44,80.61,87.94,95.95,104.79,114.52,125.56,138.7,156.5,185,241.7
,Mean,4.8751,15.57,25.78,35.06,43.53,51.38,58.83,66.01,73.13,80.38,87.91,95.86,104.51,114.25,125.58,139.6,158.6,187.8,249.6
,3rd Qu,6.1844,17.55,27.76,37.19,46.08,54.43,62.04,69.07,76.54,84.16,91.94,100.4,109.51,119.89,133.23,148.4,169.5,202.8,277.1
,Max,11.0946,24.47,38.53,49.31,56.63,63.18,69.44,77.41,84.95,93.16,105.66,118.44,133.11,151.36,172.05,194.5,222.9,282.9,454.9
Cluster:24,Min,2.479,12.69,23.19,33.71,43.06,52.12,60.61,68.48,76.53,85.07,92.36,99.86,106.2,113.4,122.1,132.8,145.5,165,203
,1st Qu,4.57,16.55,28.31,39.29,49.25,58.73,67.66,76.29,84.96,93.64,102.46,111.6,120.8,131.3,142.7,157.3,176.1,202.7,257.3
,Median,6.104,19.23,31.34,42.51,52.63,62.11,71.1,79.61,88.35,97.05,106.55,116.14,126.1,137.7,151.1,167.4,189.3,223,286.2
,Mean,6.44,19.22,31.52,42.64,52.89,62.45,71.5,80.25,88.9,97.66,106.71,116.27,126.6,138.2,151.7,168.6,191.3,226.3,301.4
,3rd Qu,7.805,21.33,34.17,45.81,56.27,66.37,75.2,84.05,93.14,101.95,111.15,121,132.5,145.6,160,178.7,203.9,242.4,327.8
,Max,13.196,30.2,44.26,56.99,67.01,74.89,86.96,97.03,105.18,112.47,121.52,132.18,146.2,162.7,184.3,212.3,250.4,342.2,718.9
Cluster:25,Min,3.304,15.77,29.58,41.73,52.24,64.17,74.27,82.8,91.97,101.9,109.1,117.7,128.5,137.7,147.1,157.7,171.8,195.1,237.8
,1st Qu,6.343,20.69,34.84,48.19,60.24,71.43,82.11,92.4,102.38,112.2,122.5,133.1,144.5,157.1,171,187.6,210,242.9,305.8
,Median,7.851,23.22,37.98,51.82,64.27,75.96,86.75,97.51,108.18,117.8,129.3,140.2,151.4,164.3,179.7,198.9,225.8,267.3,348.2
,Mean,8.306,23.87,38.76,52.3,64.63,76.16,87.12,97.62,107.96,118.4,129.3,140.7,153.1,167,183.4,203.9,231.5,273.5,359.4
,3rd Qu,9.97,26.81,42.18,56.1,69.01,80.41,91.7,102.51,112.75,123.9,135,147.1,161.2,176.7,194.2,217.7,247.4,294.9,390.8
,Max,15.26,37.64,54.04,66.29,77.25,88.9,102.98,119.37,133.22,144.9,159.3,179.1,199.5,226.5,260,302.4,361.2,494.8,845.6
Cluster:9,Min,3.014,15.82,30.63,47.65,59.06,69.74,81.32,94.04,110.4,121.8,133.1,143,154.6,167.5,180.1,194,211.1,232.7,278.1
,1st Qu,8.2,24.98,41.5,56.99,71.38,84.92,98.01,111.17,123.6,135.9,149.2,162.5,176.4,192,211.2,231.3,257.8,299.4,377.6
,Median,10.04,28.65,46.19,61.95,76.2,90.32,103.66,116.95,130,143.6,156.5,170.5,187.4,204.4,225.6,251,283.8,331.6,435.7
,Mean,10.409,28.64,46.05,62.15,77.05,91.1,104.53,117.65,130.7,144,157.7,172.3,188.1,205.8,226.7,252.3,286.8,339.9,448.8
,3rd Qu,12.477,31.85,50.49,67.04,82.53,96.9,110.73,124.17,137.9,151.9,166.7,182.4,199.4,218.6,242.3,270.6,311.9,377.5,495.2
,Max,20.073,41.22,62.01,82.62,100.21,114.91,129.22,142.22,155.1,169.3,187.8,211.1,241.6,271.5,310.1,359.6,425.2,544.6,956
Cluster:93,Min,4.612,24.69,45.36,64.86,86.03,102,113.4,124.5,137.7,152.7,162.7,173.8,186.7,195.8,206.4,219.5,236.5,264.1,329.4
,1st Qu,11.473,34.32,57.65,79.06,98.67,117.4,134.8,151.9,168.2,185,201.7,219.3,239.7,261.1,283.8,312.3,351.2,406.2,512.5
,Median,13.952,38.3,61.86,83.92,104.46,124.7,143.4,162.1,180.7,199.1,218.3,237.7,262,286.4,315,350.6,395.8,465.1,597.9
,Mean,14.312,38.77,62.71,85.06,106.13,126.2,145.8,165.1,184.5,204.2,225,247.2,271.3,298.3,329.8,368.4,419.9,497.7,651.3
,3rd Qu,16.817,42.84,68.04,90.65,112.74,134.3,155.5,176.4,198.6,219.6,241.2,263.7,292.8,319.2,353.3,397,457.5,549.1,729.2
,Max,28.547,55.87,85.01,109.82,133.43,170.5,206.8,237,268.1,300.4,356.9,423.9,502.2,614.1,734.5,865.1,1031.2,1305.7,1948.9
Cluster:45,Min,4.906,25.64,62.16,86.53,109.7,130.4,146.4,162.2,179.8,194.9,209.1,225.8,244.1,256.9,271.6,290.4,316.6,360.5,454.9
,1st Qu,17.584,48.53,78.01,105.11,132.5,158.6,182.6,207.6,231.5,256.6,284,307.5,332.5,360.6,396.2,436.9,495.7,581.3,727.7
,Median,20.886,53.9,86.6,116.83,145.5,174.5,200.7,227.8,255.9,282.7,310.4,339.8,375.1,412.8,455.9,507,580,679.2,875.6
,Mean,21.169,54.46,87.03,117.88,147.5,176.6,205.3,234.4,264.1,294.6,326.5,360.3,397.5,439.6,488.8,549.4,629.9,751,996.1
,3rd Qu,24.612,60.16,95.16,128.85,159.6,189.8,220.8,253.1,285.7,316.6,349.6,387.3,431.4,480.4,528.6,596.4,688.8,827,1067.7
,Max,41.535,83.32,128,203.59,288.8,386.3,478.2,593.6,726.6,869.8,1043.1,1217.8,1461.7,1810,2185.9,2645.1,3299.4,4578,8020.5
Cluster:64,Min,3.462,46.15,94.32,128.3,159.7,184.4,210.9,235.9,266.5,288.6,310.2,336.1,369.6,413.3,450.6,485.4,527.2,590.8,702.2
,1st Qu,27.904,74.11,116.32,157.3,195.7,234.6,269.9,308.1,343.4,382.1,422.3,464.9,509.1,555.2,607,670.9,755,874.8,1097.5
,Median,33.008,83.81,132.99,177.3,222.2,265.3,306.9,348.1,393,438.7,485.3,539.3,596.1,663.3,730.3,815.6,916.2,1067.1,1399.9
,Mean,34.67,87.48,138.73,188.5,238.3,288.2,337.9,387.8,439,492.3,548.7,610.2,677.9,753.5,839.1,944.1,1083.6,1288.2,1709.6
,3rd Qu,40.394,99.1,154.12,210.2,264.7,314.6,366.9,419.7,473,537.2,602.4,673.6,753,831.3,924.6,1024.9,1166.8,1393.1,1776.8
,Max,67.94,150.65,241.53,411.5,665.8,934.9,1165.9,1373.7,1568.3,1796.8,2042.2,2321.1,2611.6,2957.5,3348.1,3869.3,4668.3,5930.1,8971.1
Cluster:31,Min,38.87,104.7,170.3,232.1,272.3,306.9,337.9,364.9,393.5,423.4,466.6,512.2,558.8,612.2,673.9,741.9,843.9,944.1,1152
,1st Qu,62.56,153,236.2,311,381.4,457.7,534.6,598.4,676.1,749.1,820,895.4,974.9,1066.2,1171.7,1293.1,1446,1673.2,2117
,Median,81.33,201.6,302.7,401.8,499.5,605.9,699.8,794.8,886.5,982,1083.8,1208.4,1346.4,1497.6,1640.6,1822.4,2058.3,2382.6,3046
,Mean,103.56,255.2,410.5,579.7,756.2,932.7,1109.2,1282.8,1458.3,1641.8,1833.2,2040.3,2265.6,2518.4,2812.5,3180.8,3695.8,4459.4,5897
,3rd Qu,120.34,276.3,428.7,565.4,705.5,854.4,980.8,1128.1,1294.4,1458,1692.3,1902.1,2121.7,2357.1,2600.4,2929,3376.3,3993.7,4911
,Max,654.5,1830,3591.1,5456.8,7478.2,10001.1,12920,15582.5,18036.1,20331.3,22587.6,24922.5,27522.6,30454.3,33674.4,37444.7,44284.8,52977.7,73934
