  Cluster,Variable,     Q5,    Q10,    Q15,    Q20,    Q25,    Q30,    Q35,    Q40,    Q45,    Q50,    Q55,    Q60,    Q65,    Q70,    Q75,    Q80,    Q85,    Q90,    Q95
,1st Qu,10.99,16.46,20.86,24.47,28.11,31.02,33.82,36.71,39.85,43.12,46.95,50.35,54.71,59.05,63.99,70.26,77.93,88.74,105.4
,Median,14.85,21.22,26.01,29.86,33.77,37.53,40.98,44.19,47.74,51.33,55.29,59.46,64.04,68.96,74.57,81.31,90.21,102.59,124
,Mean,13.84,19.67,23.95,27.68,31.15,34.42,37.66,40.91,44.26,47.74,51.42,55.39,59.74,64.62,70.25,77.04,85.74,98.21,120.9
,3rd Qu,18.03,25.07,29.89,34.07,38.38,42,45.67,49.15,52.92,57.14,61.68,65.79,70.63,75.64,81.99,89.67,100.05,115.23,142.7
,Max,28.44,36.96,42.21,67.28,116.21,149.53,182.02,212.32,245.02,277.19,309.82,345.62,384.46,430.21,479.2,536.58,609.71,718.19,926.6
Cluster:60,Min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1st Qu,12.26,18.47,22.82,27.09,31.1,35.09,38.96,42.26,45.67,49.27,52.68,56.34,60.59,64.94,71.54,78.68,87.67,101.2,122.9
,Median,16.45,24.48,29.87,34.82,39.21,43.7,47.66,52.04,56.6,61.09,65.68,70.65,75.88,81.59,88.09,95.93,106.23,121.3,149.1
,Mean,15.53,22.24,27.2,31.45,35.36,39.09,42.8,46.54,50.39,54.42,58.73,63.46,68.6,74.37,81.05,89.1,99.42,114.2,141.4
,3rd Qu,19.87,28.49,34.51,39.5,44.17,48.56,52.53,57.24,61.77,66.35,70.94,76.17,82.52,89.65,97.53,107.86,120.63,137.3,170.1
,Max,30.43,39.3,45.53,51.79,57.04,61.72,66.23,71.07,76.8,82.69,88.89,97.26,108.09,119.53,132.53,149.27,169.73,199.6,279.7
Cluster:66,Min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0599
,1st Qu,15.47,22.55,28.32,33.6,38.24,42.92,46.89,50.13,54.57,58.86,62.85,67,71.99,78.36,84.86,93.37,102.4,116.5,140.7828
,Median,19.95,29.07,35.71,41.39,46.35,51.2,56.22,60.94,65.81,70.96,76.32,81.61,87.36,94.33,102.31,111.65,123.4,139.8,170.4705
,Mean,19.03,26.85,32.55,37.42,41.87,46.14,50.39,54.69,59.15,63.79,68.7,73.97,79.77,86.27,93.8,102.9,114.7,131.8,163.2846
,3rd Qu,24.46,33.93,40.74,46.09,51.45,56.66,62.04,66.9,71.96,77.2,83.05,89.13,96.13,103.78,112.53,123.77,137.5,157.6,195.5948
,Max,35.69,45.75,52.49,58.3,63.72,68.74,74.03,80.65,87.28,94.49,102.1,110.47,122.13,135.31,149.2,164.4,182.5,238.9,356.8657
Cluster:10,Min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
